{'time': 1.778712511062622, 'x': 0.14604323049503704, 'y': 0.19881051563777982, 'z': 0.04769403272443386, 'yaw': 0.009781563550533688, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.7887637615203857, 'x': 0.1460883312550081, 'y': 0.19882541275368631, 'z': 0.047634946807621155, 'yaw': 0.012833672753308137, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.799572467803955, 'x': 0.1460644557452391, 'y': 0.19888659738924752, 'z': 0.04766089228724762, 'yaw': 0.014212866153446968, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.8098540306091309, 'x': 0.14608825075168952, 'y': 0.1989178247460288, 'z': 0.04783896961935403, 'yaw': 0.015827759343308385, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.8194553852081299, 'x': 0.14602382299581965, 'y': 0.19889782716313895, 'z': 0.04787588789487448, 'yaw': 0.020342606295030784, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.8295135498046875, 'x': 0.146201647777276, 'y': 0.19899891713135645, 'z': 0.04799061839186826, 'yaw': 0.02316870092601124, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.8386075496673584, 'x': 0.14595414930646272, 'y': 0.19895404536887693, 'z': 0.04825840711614729, 'yaw': 0.026064168738904755, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.8496387004852295, 'x': 0.14604102924794865, 'y': 0.19907868811511154, 'z': 0.048437776890446094, 'yaw': 0.028990764940431627, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.8599865436553955, 'x': 0.14604605831689074, 'y': 0.19905650517691229, 'z': 0.04882031432695562, 'yaw': 0.03227905386589523, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.8697452545166016, 'x': 0.14610466091627305, 'y': 0.19916345706214378, 'z': 0.04908356765207454, 'yaw': 0.03558833336306327, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.8797659873962402, 'x': 0.14640285569739242, 'y': 0.1993017686657293, 'z': 0.04958013020654639, 'yaw': 0.031046485995830674, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.889814853668213, 'x': 0.14604000207748302, 'y': 0.19922103752289355, 'z': 0.050275325447416364, 'yaw': 0.04219815519298561, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.8989310264587402, 'x': 0.14604086342075773, 'y': 0.19931748927286014, 'z': 0.05088723185941092, 'yaw': 0.043978465412615665, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.9099524021148682, 'x': 0.1461755784849357, 'y': 0.19945770401547364, 'z': 0.051736946738740366, 'yaw': 0.04720524316126025, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.919482707977295, 'x': 0.14611446178000995, 'y': 0.1995198442753146, 'z': 0.05279279954479623, 'yaw': 0.047506163346932605, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.9298474788665771, 'x': 0.14615966187805052, 'y': 0.19957079467042357, 'z': 0.053807291362022266, 'yaw': 0.0476218726596016, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.9398767948150635, 'x': 0.14616173762164916, 'y': 0.19966542493791742, 'z': 0.05484921402408825, 'yaw': 0.046109931748867045, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.9500045776367188, 'x': 0.14616769514958994, 'y': 0.199834784854327, 'z': 0.055939579426397296, 'yaw': 0.0477445034666395, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.9591126441955566, 'x': 0.1463097932490383, 'y': 0.19985472954996708, 'z': 0.05718201632067713, 'yaw': 0.05520151710243171, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
