{'time': 1.7138233184814453, 'x': 0.16907207053131318, 'y': 0.7659388767892689, 'z': 0.04819685618659263, 'yaw': 0.009621573055215764, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.723696231842041, 'x': 0.16930953163953658, 'y': 0.7658072084327643, 'z': 0.04832369019549113, 'yaw': 0.0045896188024659055, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.7337162494659424, 'x': 0.1694187057547404, 'y': 0.766098169491889, 'z': 0.04833778171946308, 'yaw': 0.007083514919882942, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.7428507804870605, 'x': 0.16935504415903543, 'y': 0.765984521755773, 'z': 0.048370483936445906, 'yaw': 0.008738637579161341, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.753657579421997, 'x': 0.16929624013798555, 'y': 0.7660410539931605, 'z': 0.048257897615213693, 'yaw': 0.00808538323587627, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.7637102603912354, 'x': 0.16922142576079802, 'y': 0.7658672233185689, 'z': 0.048258864243018965, 'yaw': 0.007101528543854304, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.7736942768096924, 'x': 0.16930213198613386, 'y': 0.7660126216102822, 'z': 0.04830114940116676, 'yaw': 0.005087265401938548, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.784724473953247, 'x': 0.16907819153988862, 'y': 0.7659623199229912, 'z': 0.04812690617164211, 'yaw': 0.00793846775238376, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.7940704822540283, 'x': 0.16927293292538673, 'y': 0.7660032098961385, 'z': 0.048420529648013806, 'yaw': 0.009229619021141286, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.8038742542266846, 'x': 0.1694271550850212, 'y': 0.7660917886423283, 'z': 0.048352422869092145, 'yaw': 0.011840652534030547, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.813894271850586, 'x': 0.16931665373787644, 'y': 0.7660585505249738, 'z': 0.048559932673849594, 'yaw': 0.006344969029620901, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.823885440826416, 'x': 0.16926162622881266, 'y': 0.7658970739519256, 'z': 0.04855830218479641, 'yaw': 0.010085048309562044, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.8339641094207764, 'x': 0.1693375949189869, 'y': 0.7659945277992948, 'z': 0.04836695090379506, 'yaw': 0.008889582781171386, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.844055414199829, 'x': 0.16918564463296945, 'y': 0.7659270792749151, 'z': 0.04833268406985893, 'yaw': 0.00817970266452806, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.8538951873779297, 'x': 0.16934109945499645, 'y': 0.7660253636349479, 'z': 0.04831155393497056, 'yaw': 0.010910960824057361, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.863903284072876, 'x': 0.16919149111231727, 'y': 0.7659652417484164, 'z': 0.04851131618008281, 'yaw': 0.008442172340650825, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.8736770153045654, 'x': 0.16875121543186883, 'y': 0.7658963325952498, 'z': 0.04800753263363558, 'yaw': 0.01649395843216697, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.8846783638000488, 'x': 0.16926451113085994, 'y': 0.7658891331922162, 'z': 0.04852050475841452, 'yaw': 0.010290075349855612, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.8939993381500244, 'x': 0.16928997446674215, 'y': 0.7660373149127445, 'z': 0.04852312003043043, 'yaw': 0.0055759548980984, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.90313720703125, 'x': 0.16921444502950425, 'y': 0.7659684462746178, 'z': 0.048329476782065, 'yaw': 0.0038236913545185852, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.9129948616027832, 'x': 0.16932845239590286, 'y': 0.7659857013551946, 'z': 0.04836056627111427, 'yaw': 0.010448088141765443, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.9230215549468994, 'x': 0.16943835168319535, 'y': 0.7660630231388946, 'z': 0.048564842552283105, 'yaw': 0.007912950874553381, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.933088779449463, 'x': 0.1693508821964457, 'y': 0.7659854861309603, 'z': 0.0483926001292689, 'yaw': 0.011487877922879633, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.9432704448699951, 'x': 0.1692394410643624, 'y': 0.765942945393628, 'z': 0.04853905499400132, 'yaw': 0.011404733024019306, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.9531686305999756, 'x': 0.16936507872741577, 'y': 0.7660840796504029, 'z': 0.048488077336596075, 'yaw': 0.00745482447070559, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.9632172584533691, 'x': 0.1693003665937746, 'y': 0.7660893793253837, 'z': 0.0484708181450488, 'yaw': 0.00651592202651332, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.9732189178466797, 'x': 0.16937417477477762, 'y': 0.7660377206016922, 'z': 0.048344678236470436, 'yaw': 0.007220389975114154, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.9842479228973389, 'x': 0.16935299644629087, 'y': 0.7659550531607917, 'z': 0.04823317685868482, 'yaw': 0.002043809621815018, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.9934022426605225, 'x': 0.16931748277728242, 'y': 0.7659062061619965, 'z': 0.048483109400714965, 'yaw': 0.007100684616544622, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 2.0035524368286133, 'x': 0.16934592636942053, 'y': 0.765946972913723, 'z': 0.04840475956748144, 'yaw': 0.008573332148593578, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 2.013580799102783, 'x': 0.16909929564705284, 'y': 0.7659723346550257, 'z': 0.04826479545045243, 'yaw': 0.007728546882662204, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 2.0230259895324707, 'x': 0.16926127764390694, 'y': 0.7660281260684189, 'z': 0.04855488899143331, 'yaw': 0.00726220589981718, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 2.033052682876587, 'x': 0.1691277405789183, 'y': 0.7660438244009948, 'z': 0.04830645472050634, 'yaw': 0.01179052104815255, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 2.043179988861084, 'x': 0.16909267895410862, 'y': 0.7659629361795819, 'z': 0.04833365619690039, 'yaw': 0.006646483491851813, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 2.053117036819458, 'x': 0.16915466208748892, 'y': 0.7660007479980843, 'z': 0.04850179325324443, 'yaw': 0.009099463385341193, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 2.0631351470947266, 'x': 0.16926322155374587, 'y': 0.7660135375668382, 'z': 0.048384254220769946, 'yaw': 0.009433528205597317, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 2.073079824447632, 'x': 0.1692431936285134, 'y': 0.7659465685515665, 'z': 0.04838937825016045, 'yaw': 0.0047830081471360855, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 2.084109306335449, 'x': 0.1691554126642469, 'y': 0.7658762482239904, 'z': 0.04833198879963973, 'yaw': 0.004063731147702171, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
