{'time': 1.466193675994873, 'x': 0.10570372100343496, 'y': 0.0008243020774868079, 'z': 0.6528067327260579, 'yaw': 1.3733354329825238, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4717082977294922, 'x': 0.1056802315492719, 'y': 0.0008514042524433262, 'z': 0.6528267421679806, 'yaw': 1.3728101323167292, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4772229194641113, 'x': 0.10565424729365086, 'y': 0.0008504082003142723, 'z': 0.6528258782630687, 'yaw': 1.3733691542029274, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4827375411987305, 'x': 0.10565057109433218, 'y': 0.0008434916089707643, 'z': 0.6528382899123827, 'yaw': 1.3732984332493805, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4882521629333496, 'x': 0.1056223210197221, 'y': 0.000843220501473096, 'z': 0.6528138202804775, 'yaw': 1.3733712325124028, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4936070442199707, 'x': 0.10564988198536229, 'y': 0.0008415171282073328, 'z': 0.6528230587622808, 'yaw': 1.3734853580940205, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4990956783294678, 'x': 0.10565120027688875, 'y': 0.000845334244105514, 'z': 0.6528247605141136, 'yaw': 1.3736652784256194, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5051496028900146, 'x': 0.10569206567735884, 'y': 0.0008382612536533243, 'z': 0.6528045440392102, 'yaw': 1.3732149792156296, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5106353759765625, 'x': 0.10567152089190539, 'y': 0.0008378579564570103, 'z': 0.6527943380788152, 'yaw': 1.3734542719162615, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5161495208740234, 'x': 0.10568065903211159, 'y': 0.0008523342350134493, 'z': 0.6527866436314285, 'yaw': 1.3733605443061616, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
