{'time': 1.8468003273010254, 'x': 0.0579084609132826, 'y': 0.11540744312088981, 'z': 0.05082072468867325, 'yaw': 0.04258417403764359, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.856095790863037, 'x': 0.05796811360567192, 'y': 0.11547983201090883, 'z': 0.05117281912806999, 'yaw': 0.04378535311110987, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.866081714630127, 'x': 0.058099322752294034, 'y': 0.11565291131488996, 'z': 0.051457202136485386, 'yaw': 0.0432419867169854, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.8761062622070312, 'x': 0.05796497133864851, 'y': 0.11582124117963305, 'z': 0.0523333574409603, 'yaw': 0.04417063130364718, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.8857929706573486, 'x': 0.058122981924981915, 'y': 0.11595950027034278, 'z': 0.05277486836232286, 'yaw': 0.04725477981427644, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.8963007926940918, 'x': 0.05833797063965213, 'y': 0.1160915923652178, 'z': 0.05336408211931709, 'yaw': 0.03982020075693054, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.906632661819458, 'x': 0.058479411474197336, 'y': 0.11620690852716177, 'z': 0.05420335560062395, 'yaw': 0.0429985074450148, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.9156956672668457, 'x': 0.05847580293382618, 'y': 0.11604562840172812, 'z': 0.05519882971349978, 'yaw': 0.04065492363503309, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.9267077445983887, 'x': 0.05825994922527633, 'y': 0.11629755050265185, 'z': 0.05630557854709094, 'yaw': 0.043555227902754484, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.9360013008117676, 'x': 0.058260117713307906, 'y': 0.11630942821940021, 'z': 0.057289957444692514, 'yaw': 0.04348631636631175, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
