{'time': 1.8010473251342773, 'x': 0.1892268025137116, 'y': -0.3628515628555367, 'z': 0.04675992273920463, 'yaw': 0.03881948237314445, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.8110756874084473, 'x': 0.1891918547488038, 'y': -0.362910033392704, 'z': 0.04660230318927308, 'yaw': 0.03615493425224215, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.8211476802825928, 'x': 0.18932519388291455, 'y': -0.36282592136237846, 'z': 0.04668047872550255, 'yaw': 0.03409886596928646, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.8313918113708496, 'x': 0.18911569116346816, 'y': -0.3629611411323798, 'z': 0.04668775625407052, 'yaw': 0.03460124438932317, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.8413324356079102, 'x': 0.1892816434223346, 'y': -0.3628608861841216, 'z': 0.04679834403047388, 'yaw': 0.037596154196473705, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.8513531684875488, 'x': 0.18933015575176199, 'y': -0.3628207505226853, 'z': 0.04678531064072771, 'yaw': 0.036672395256265096, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.860576868057251, 'x': 0.18914334665174268, 'y': -0.3628862341922145, 'z': 0.04684671693765862, 'yaw': 0.03514457086153177, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.8707807064056396, 'x': 0.18923092175989925, 'y': -0.36283664885132205, 'z': 0.04687136145432298, 'yaw': 0.03549713756512099, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.880826473236084, 'x': 0.18928081813767136, 'y': -0.36292754286904977, 'z': 0.046774077686649214, 'yaw': 0.03428301619720985, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.8906149864196777, 'x': 0.1890904112281864, 'y': -0.36295602053052856, 'z': 0.04667308709940411, 'yaw': 0.03468863998423024, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.9006679058074951, 'x': 0.18933555405910407, 'y': -0.36279577944643104, 'z': 0.046859727740547634, 'yaw': 0.03438208107038269, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.9108023643493652, 'x': 0.18922888624155224, 'y': -0.3628795776403334, 'z': 0.046921743559571405, 'yaw': 0.038586071636952136, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.9208245277404785, 'x': 0.18905961693909987, 'y': -0.3629447496579136, 'z': 0.046602794146582666, 'yaw': 0.03379277437091061, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.9308521747589111, 'x': 0.1892035195333722, 'y': -0.3629087402798727, 'z': 0.04682279507437277, 'yaw': 0.038016967551649225, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.94087815284729, 'x': 0.18928209884990319, 'y': -0.3628287322523314, 'z': 0.04686003697245688, 'yaw': 0.03435299773090368, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.9512653350830078, 'x': 0.18925920343487143, 'y': -0.3628662713458835, 'z': 0.046678724084338805, 'yaw': 0.02986151612929333, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.9605236053466797, 'x': 0.18937064669809908, 'y': -0.3628400950177164, 'z': 0.046527501172327144, 'yaw': 0.034494027579041055, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.9704859256744385, 'x': 0.18925789107359922, 'y': -0.36280641256915314, 'z': 0.04695026247058562, 'yaw': 0.035566458307233983, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.98087739944458, 'x': 0.1895621117593965, 'y': -0.36266887018813054, 'z': 0.04658675687600535, 'yaw': 0.03152822964506344, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.990649938583374, 'x': 0.18928840411440012, 'y': -0.3628019083273002, 'z': 0.046975934957335874, 'yaw': 0.03315923450903638, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 2.000523328781128, 'x': 0.18914701396547404, 'y': -0.3629752423754343, 'z': 0.0467534293574557, 'yaw': 0.03401511686004795, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 2.011573553085327, 'x': 0.1893003978059196, 'y': -0.36279849250091634, 'z': 0.046980921273736875, 'yaw': 0.03307641393680892, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 2.020578384399414, 'x': 0.18914776736855607, 'y': -0.36293863252231584, 'z': 0.046770809555960864, 'yaw': 0.03241050303086999, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 2.030733585357666, 'x': 0.18914191737343727, 'y': -0.3628809879321833, 'z': 0.04691646680343496, 'yaw': 0.03256963868759432, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
