{'time': 2.057393789291382, 'x': 0.04914694156332114, 'y': -0.21930857782435675, 'z': 0.046005347190943874, 'yaw': -0.004368933012102616, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.06793475151062, 'x': 0.049160017506449785, 'y': -0.21928648417187205, 'z': 0.04599909162118378, 'yaw': -0.004526151099420339, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0779638290405273, 'x': 0.04915803214606075, 'y': -0.21930089259300972, 'z': 0.04599731055975077, 'yaw': -0.003939708717397572, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0881149768829346, 'x': 0.049151972006631, 'y': -0.21932129742349404, 'z': 0.045943719217119795, 'yaw': -0.004271646643566385, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0971574783325195, 'x': 0.04917475078927295, 'y': -0.21930862534203874, 'z': 0.04597645682273404, 'yaw': -0.004355771484853221, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.107166290283203, 'x': 0.04916029106877534, 'y': -0.21931053232858738, 'z': 0.04599164526260268, 'yaw': -0.004576438338409261, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.117192029953003, 'x': 0.04914883012472416, 'y': -0.2193151588345719, 'z': 0.04597241643252346, 'yaw': -0.004112903038455684, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.1286001205444336, 'x': 0.04915721390650521, 'y': -0.21930505066227707, 'z': 0.046003992249542214, 'yaw': -0.004464784523739773, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.137644052505493, 'x': 0.049161683638845974, 'y': -0.21931428433346697, 'z': 0.04600529915200348, 'yaw': -0.004454903950108502, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.147670269012451, 'x': 0.04915611911594543, 'y': -0.21931045755522457, 'z': 0.04596086879808627, 'yaw': -0.003918124713128357, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.1576974391937256, 'x': 0.049153615598215246, 'y': -0.2193093852789593, 'z': 0.04598010436418776, 'yaw': -0.004348029807135667, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.1677236557006836, 'x': 0.04915539119724941, 'y': -0.2193023341529374, 'z': 0.04600017871985366, 'yaw': -0.0043467135389585465, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.1777503490448, 'x': 0.049176972224632735, 'y': -0.21930819328328055, 'z': 0.04597217183271355, 'yaw': -0.004139470584517468, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.1877784729003906, 'x': 0.04916104901728061, 'y': -0.21931647821182557, 'z': 0.0459628897265704, 'yaw': -0.004190041027221092, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.1976757049560547, 'x': 0.04916288728724329, 'y': -0.21930662642642648, 'z': 0.04600233057853935, 'yaw': -0.004261113494290036, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.207702159881592, 'x': 0.04916584389392461, 'y': -0.21930270672990992, 'z': 0.04598509134489604, 'yaw': -0.004588478956612185, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.2177281379699707, 'x': 0.049156002963914674, 'y': -0.21930805607581716, 'z': 0.04596447123768849, 'yaw': -0.004378535557967744, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
